Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Areeba,19.0,Female,98.0,,Lahore,Accepted
Sameer,20.0,Male,67.0,78.33,Islamabad,Accepted
Hiba,18.0,Female,73.0,80.11,Quetta,Rejected
Arsalan,21.0,Male,60.0,61.55,Multan,Rejected
Sumbal,22.0,Female,101.0,87.33,Karachi,Accepted
Noman,24.0,Male,72.0,75.33,Lahore,Accepted
Aqsa,19.0,Female,85.0,91.22,Islamabad,Accepted
Rehan,20.0,Male,49.0,,Quetta,Rejected
Mariam,18.0,Female,93.0,94.22,Multan,Accepted
Shahzaib,21.0,Male,65.0,69.55,Karachi,Rejected
Anum,22.0,Female,90.0,88.55,Lahore,Accepted
Owais,23.0,Male,,57.22,Islamabad,Rejected
Hafsa,19.0,Female,76.0,83.11,Quetta,Accepted
Junaid,20.0,Male,63.0,70.55,Multan,Rejected
Ayesha,18.0,Female,99.0,,Karachi,Accepted
Faizan,21.0,Male,56.0,63.22,Lahore,Rejected
Sadia,22.0,Female,88.0,90.33,Islamabad,Accepted
Moiz,23.0,Male,74.0,79.55,Quetta,
Laiba,19.0,Female,95.0,92.33,Multan,Accepted
Hamid,20.0,Male,61.0,,Karachi,Rejected
Zoya,18.0,Female,97.0,95.33,Lahore,Accepted
Adnan,21.0,Male,59.0,62.33,Islamabad,Rejected
Hania,22.0,Female,,89.55,Quetta,Accepted
Sikandar,24.0,Male,71.0,74.22,Multan,Accepted
Eman,19.0,Female,83.0,,Karachi,Accepted
Shiraz,20.0,Male,52.0,53.33,Lahore,Rejected
Mishal,18.0,Female,91.0,91.22,Islamabad,Accepted
